seed,threshold,n,t_max,dt,peak_drift,final_drift,peak_time,branches,passed_i16,passed_i18,reference,run_id
0,0.25,4,3.0,0.005,0.048529716186282545,0.030683037163186322,1.85,4,true,false,candidate,000251
0,0.25,4,3.0,0.01,0.048529716229163355,0.030683037231689747,1.85,4,true,false,candidate,000252
0,0.25,4,3.0,0.02,0.04852769571923998,0.030683038227996562,1.84,4,true,false,candidate,000253
0,0.25,6,0.3,0.005,0.00451096167385634,0.00451096167385634,0.3,1,false,true,candidate,000254
0,0.25,6,0.3,0.01,0.004510961656028378,0.004510961656028378,0.3,1,false,true,candidate,000255
0,0.25,6,0.3,0.02,0.004510961337693464,0.004510961337693464,0.3,1,false,true,candidate,000256
0,0.25,6,0.5,0.005,0.01095078345409739,0.01095078345409739,0.5,1,false,true,candidate,000257
0,0.25,6,0.5,0.01,0.010950783421492805,0.010950783421492805,0.5,1,false,true,candidate,000258
0,0.25,6,0.5,0.02,0.010950782843379248,0.010950782843379248,0.5,1,false,true,candidate,000259
0,0.25,6,1.0,0.005,0.02778541018375269,0.02778541018375269,1.0,1,false,true,candidate,000260
0,0.25,6,1.0,0.01,0.027785410114131937,0.027785410114131937,1.0,1,false,true,candidate,000261
0,0.25,6,1.0,0.02,0.027785408880728113,0.027785408880728113,1.0,1,false,true,candidate,000262
0,0.25,6,3.0,0.005,0.05632542307070665,0.05632542307070665,3.0,3,false,false,candidate,000263
0,0.25,6,3.0,0.01,0.056325422841547956,0.056325422841547956,3.0,3,false,false,candidate,000264
0,0.25,6,3.0,0.02,0.05632541874988983,0.05632541874988983,3.0,3,false,false,candidate,000265
0,0.25,8,0.3,0.005,0.0022053907798356143,0.0022053907798356143,0.3,0,false,true,candidate,000266
