d,path,phi,overall,below_gap1,below_accept
0.8380,uniforme,0.162000,0.162000,true,true
0.8400,uniforme,0.160000,0.160000,true,true
0.8420,uniforme,0.158000,0.158000,true,true
0.8440,uniforme,0.156000,0.156000,true,true
0.8460,uniforme,0.154000,0.154000,true,true
0.8480,uniforme,0.152000,0.152000,true,true
0.8500,uniforme,0.150000,0.150000,true,true
0.8520,uniforme,0.148000,0.148000,true,true
0.8540,uniforme,0.146000,0.146000,true,true
0.8560,uniforme,0.144000,0.144000,true,true
0.8580,uniforme,0.142000,0.142000,true,true
0.8600,uniforme,0.140000,0.140000,true,true
0.8620,uniforme,0.138000,0.138000,true,true
0.8640,uniforme,0.136000,0.136000,true,true
0.8660,uniforme,0.134000,0.134000,true,true
0.8680,uniforme,0.132000,0.132000,true,true
0.8700,uniforme,0.130000,0.130000,true,true
0.8720,uniforme,0.128000,0.128000,true,true
0.8740,uniforme,0.126000,0.126000,true,true
0.8760,uniforme,0.124000,0.124000,true,true
0.8780,uniforme,0.122000,0.122000,true,true
0.8800,uniforme,0.120000,0.120000,true,true
0.8820,uniforme,0.118000,0.118000,true,true
0.8840,uniforme,0.116000,0.116000,true,true
0.8860,uniforme,0.114000,0.114000,true,true
0.8880,uniforme,0.112000,0.112000,true,true
0.8900,uniforme,0.110000,0.110000,true,true
0.8920,uniforme,0.108000,0.108000,true,true
0.8940,uniforme,0.106000,0.106000,true,true
0.8960,uniforme,0.104000,0.104000,true,true
0.8980,uniforme,0.102000,0.102000,true,true
0.9000,uniforme,0.100000,0.100000,true,true
0.9020,uniforme,0.098000,0.098000,true,true
0.9040,uniforme,0.096000,0.096000,true,true
0.9060,uniforme,0.094000,0.094000,true,true
0.9080,uniforme,0.092000,0.092000,true,true
0.9100,uniforme,0.090000,0.090000,true,true
0.9120,uniforme,0.088000,0.088000,true,true
0.9140,uniforme,0.086000,0.086000,true,true
0.9160,uniforme,0.084000,0.084000,true,true
0.9180,uniforme,0.082000,0.082000,true,true
0.9200,uniforme,0.080000,0.080000,true,true
0.9220,uniforme,0.078000,0.078000,true,true
0.9240,uniforme,0.076000,0.076000,true,true
0.9260,uniforme,0.074000,0.074000,true,true
0.9280,uniforme,0.072000,0.072000,true,true
0.9300,uniforme,0.070000,0.070000,true,true
0.9320,uniforme,0.068000,0.068000,true,true
0.9340,uniforme,0.066000,0.066000,true,true
0.9360,uniforme,0.064000,0.064000,true,true
0.9380,uniforme,0.062000,0.062000,true,true
0.9400,uniforme,0.060000,0.060000,true,true
0.9420,uniforme,0.058000,0.058000,true,true
0.9440,uniforme,0.056000,0.056000,true,true
0.9460,uniforme,0.054000,0.054000,true,true
0.9480,uniforme,0.052000,0.052000,true,true
0.9500,uniforme,0.050000,0.050000,true,true
0.9520,uniforme,0.048000,0.048000,true,true
0.9540,uniforme,0.046000,0.046000,true,true
0.9560,uniforme,0.044000,0.044000,true,true
0.9580,uniforme,0.042000,0.042000,true,true
0.9600,uniforme,0.040000,0.040000,true,true
0.9620,uniforme,0.038000,0.038000,true,true
0.9640,uniforme,0.036000,0.036000,true,true
0.9660,uniforme,0.034000,0.034000,true,true
0.9680,uniforme,0.032000,0.032000,true,true
0.9700,uniforme,0.030000,0.030000,true,true
0.9720,uniforme,0.028000,0.028000,true,true
0.9740,uniforme,0.026000,0.026000,true,true
0.9760,uniforme,0.024000,0.024000,true,true
0.9780,uniforme,0.022000,0.022000,true,true
